428,2140,551,2140,551,2176,428,2176
577,2140,680,2140,680,2171,577,2171
825,2140,979,2140,979,2171,825,2171
1861,2140,1887,2140,1887,2171,1861,2171
353,2189,499,2180,502,2222,356,2231
1077,2181,1181,2181,1181,2228,1077,2228
1299,2181,1408,2181,1408,2223,1299,2223
1427,2186,1629,2177,1631,2222,1429,2231
1660,2181,1861,2181,1861,2228,1660,2228
1908,2176,1990,2176,1990,2223,1908,2223
505,2186,577,2186,577,2223,505,2223
1005,2186,1057,2186,1057,2223,1005,2223
1206,2186,1284,2186,1284,2223,1206,2223
603,2192,778,2192,778,2228,603,2228
799,2192,979,2192,979,2228,799,2228
350,2228,531,2228,531,2274,350,2274
550,2236,732,2229,733,2274,552,2280
1021,2228,1083,2228,1083,2274,1021,2274
1227,2233,1377,2233,1377,2274,1227,2274
1402,2228,1557,2228,1557,2279,1402,2279
1584,2231,1663,2239,1660,2277,1580,2269
1681,2233,1810,2233,1810,2274,1681,2274
1887,2233,2016,2233,2016,2269,1887,2269
752,2243,928,2237,929,2276,753,2282
954,2238,1005,2238,1005,2274,954,2274
1103,2238,1232,2238,1232,2279,1103,2279
1810,2238,1861,2238,1861,2274,1810,2274
2037,2238,2119,2238,2119,2269,2037,2269
598,2279,706,2279,706,2321,598,2321
706,2284,809,2284,809,2326,706,2326
830,2284,1108,2284,1108,2331,830,2331
1253,2279,1335,2279,1335,2321,1253,2321
1355,2285,1588,2280,1589,2321,1356,2326
355,2290,510,2290,510,2331,355,2331
531,2290,582,2290,582,2321,531,2321
1129,2290,1232,2290,1232,2321,1129,2321
374,2367,825,2399,816,2527,365,2494
361,2537,412,2537,412,2578,361,2578
433,2537,484,2537,484,2573,433,2573
510,2537,557,2537,557,2573,510,2573
2207,2589,2279,2589,2279,3007,2207,3007
355,2630,515,2630,515,2676,355,2676
361,2733,495,2733,495,2774,361,2774
